C96,Cyclic group,96,1,C96,"96,2"
D48,Dihedral group,48,2+,D48,"96,6"
Dic24,Dicyclic group; = C3⋊1Q32,96,2-,Dic24,"96,8"
U2(𝔽3),Unitary group on 𝔽32; = SL2(𝔽3)⋊2C4,24,2,"U(2,3)","96,67"
D4○D12,Central product of D4 and D12,24,4+,D4oD12,"96,216"
C8○D12,Central product of C8 and D12,48,2,C8oD12,"96,108"
C4○D24,Central product of C4 and D24,48,2,C4oD24,"96,111"
Q8○D12,Central product of Q8 and D12,48,4-,Q8oD12,"96,217"
C22⋊S4,The semidirect product of C22 and S4 acting via S4/C22=S3,8,6+,C2^2:S4,"96,227"
C24⋊C6,1st semidirect product of C24 and C6 acting faithfully,8,6+,C2^4:C6,"96,70"
C23⋊A4,2nd semidirect product of C23 and A4 acting faithfully,8,4+,C2^3:A4,"96,204"
C4⋊S4,The semidirect product of C4 and S4 acting via S4/A4=C2,12,6+,C4:S4,"96,187"
C42⋊S3,The semidirect product of C42 and S3 acting faithfully,12,3,C4^2:S3,"96,64"
A4⋊D4,The semidirect product of A4 and D4 acting via D4/C22=C2; = Aut(C42) = GL2(ℤ/4ℤ),12,6+,A4:D4,"96,195"
C42⋊C6,1st semidirect product of C42 and C6 acting faithfully,16,6,C4^2:C6,"96,71"
A4⋊C8,The semidirect product of A4 and C8 acting via C8/C4=C2,24,3,A4:C8,"96,65"
A4⋊Q8,The semidirect product of A4 and Q8 acting via Q8/C4=C2,24,6-,A4:Q8,"96,185"
C8⋊D6,1st semidirect product of C8 and D6 acting via D6/C3=C22,24,4+,C8:D6,"96,115"
D6⋊D4,1st semidirect product of D6 and D4 acting via D4/C22=C2,24,,D6:D4,"96,89"
D8⋊S3,2nd semidirect product of D8 and S3 acting via S3/C3=C2,24,4,D8:S3,"96,118"
D4⋊D6,2nd semidirect product of D4 and D6 acting via D6/C6=C2,24,4+,D4:D6,"96,156"
D4⋊6D6,2nd semidirect product of D4 and D6 acting through Inn(D4),24,4,D4:6D6,"96,211"
Q8⋊3D6,2nd semidirect product of Q8 and D6 acting via D6/S3=C2,24,4+,Q8:3D6,"96,121"
Q8⋊A4,1st semidirect product of Q8 and A4 acting via A4/C22=C3,24,6-,Q8:A4,"96,203"
