Dic9,Dicyclic group; = C9&rtimesC4,36,2-,Dic9,"36,1"
C36,Cyclic group,36,1,C36,"36,2"
C3.A4,The central extension by C3 of A4,18,3,C3.A4,"36,3"
D18,Dihedral group; = C2×D9,18,2+,D18,"36,4"
C2×C18,"Abelian group of type [2,18]",36,,C2xC18,"36,5"
C3×Dic3,Direct product of C3 and Dic3,12,2,C3xDic3,"36,6"
C3&rtimesDic3,The semidirect product of C3 and Dic3 acting via Dic3/C6=C2,36,,C3:Dic3,"36,7"
C3×C12,"Abelian group of type [3,12]",36,,C3xC12,"36,8"
C32&rtimesC4,The semidirect product of C32 and C4 acting faithfully,6,4+,C3^2:C4,"36,9"
S32,Direct product of S3 and S3; = Spin+4(𝔽2) = Hol(S3),6,4+,S3^2,"36,10"
C3×A4,Direct product of C3 and A4,12,3,C3xA4,"36,11"
S3×C6,Direct product of C6 and S3,12,2,S3xC6,"36,12"
C2×C3&rtimesS3,Direct product of C2 and C3&rtimesS3,18,,C2xC3:S3,"36,13"
C62,"Abelian group of type [6,6]",36,,C6^2,"36,14"
