C112,Cyclic group,112,1,C112,"112,2"
D56,Dihedral group,56,2+,D56,"112,6"
Dic28,Dicyclic group; = C7⋊1Q16,112,2-,Dic28,"112,7"
C4○D28,Central product of C4 and D28,56,2,C4oD28,"112,30"
D4⋊D7,The semidirect product of D4 and D7 acting via D7/C7=C2,56,4+,D4:D7,"112,14"
Q8⋊D7,The semidirect product of Q8 and D7 acting via D7/C7=C2,56,4+,Q8:D7,"112,16"
D14⋊C4,The semidirect product of D14 and C4 acting via C4/C2=C2,56,,D14:C4,"112,13"
C8⋊D7,3rd semidirect product of C8 and D7 acting via D7/C7=C2,56,2,C8:D7,"112,4"
C56⋊C2,2nd semidirect product of C56 and C2 acting faithfully,56,2,C56:C2,"112,5"
D4⋊2D7,The semidirect product of D4 and D7 acting through Inn(D4),56,4-,D4:2D7,"112,32"
Q8⋊2D7,The semidirect product of Q8 and D7 acting through Inn(Q8),56,4+,Q8:2D7,"112,34"
C7⋊C16,The semidirect product of C7 and C16 acting via C16/C8=C2,112,2,C7:C16,"112,1"
C4⋊Dic7,The semidirect product of C4 and Dic7 acting via Dic7/C14=C2,112,,C4:Dic7,"112,12"
C7⋊Q16,The semidirect product of C7 and Q16 acting via Q16/Q8=C2,112,4-,C7:Q16,"112,17"
Dic7⋊C4,The semidirect product of Dic7 and C4 acting via C4/C2=C2,112,,Dic7:C4,"112,11"
D4.D7,The non-split extension by D4 of D7 acting via D7/C7=C2,56,4-,D4.D7,"112,15"
C4.Dic7,The non-split extension by C4 of Dic7 acting via Dic7/C14=C2,56,2,C4.Dic7,"112,9"
C23.D7,The non-split extension by C23 of D7 acting via D7/C7=C2,56,,C2^3.D7,"112,18"
C4×C28,"Abelian group of type [4,28]",112,,C4xC28,"112,19"
C2×C56,"Abelian group of type [2,56]",112,,C2xC56,"112,22"
C22×C28,"Abelian group of type [2,2,28]",112,,C2^2xC28,"112,37"
C23×C14,"Abelian group of type [2,2,2,14]",112,,C2^3xC14,"112,43"
C2×F8,Direct product of C2 and F8,14,7+,C2xF8,"112,41"
D4×D7,Direct product of D4 and D7,28,4+,D4xD7,"112,31"
C8×D7,Direct product of C8 and D7,56,2,C8xD7,"112,3"
C7×D8,Direct product of C7 and D8,56,2,C7xD8,"112,24"
Q8×D7,Direct product of Q8 and D7,56,4-,Q8xD7,"112,33"
C2×D28,Direct product of C2 and D28,56,,C2xD28,"112,29"
D4×C14,Direct product of C14 and D4,56,,D4xC14,"112,38"
C7×SD16,Direct product of C7 and SD16,56,2,C7xSD16,"112,25"
C23×D7,Direct product of C23 and D7,56,,C2^3xD7,"112,42"
C7×M4(2),Direct product of C7 and M4(2),56,2,C7xM4(2),"112,23"
C7×Q16,Direct product of C7 and Q16,112,2,C7xQ16,"112,26"
Q8×C14,Direct product of C14 and Q8,112,,Q8xC14,"112,39"
C4×Dic7,Direct product of C4 and Dic7,112,,C4xDic7,"112,10"
C2×Dic14,Direct product of C2 and Dic14,112,,C2xDic14,"112,27"
C22×Dic7,Direct product of C22 and Dic7,112,,C2^2xDic7,"112,35"
C2×C4×D7,Direct product of C2×C4 and D7,56,,C2xC4xD7,"112,28"
C2×C7⋊D4,Direct product of C2 and C7⋊D4,56,,C2xC7:D4,"112,36"
C7×C4○D4,Direct product of C7 and C4○D4,56,2,C7xC4oD4,"112,40"
C7×C22⋊C4,Direct product of C7 and C22⋊C4,56,,C7xC2^2:C4,"112,20"
C2×C7⋊C8,Direct product of C2 and C7⋊C8,112,,C2xC7:C8,"112,8"
C7×C4⋊C4,Direct product of C7 and C4⋊C4,112,,C7xC4:C4,"112,21"
